名稱,評級,地址,營業時間
三野達人,4.5,新店區大豐路52號,{'open_now': True}
小樽食堂,4.1,"No, No. 2中央路133巷32弄新店區",{'open_now': False}
里拉6街義大利餐館,4.1,新店區中央六街1號,{'open_now': True}
輪流請客 x GLAMAIR 韓式餐廳 二號店,4.3,新店區民權路86號,{'open_now': True}
IKEA 瑞典餐廳 新店店,4.3,新店區中央路159號,{'open_now': True}
何香香重廚江湖川菜,4.3,新店區三民路130號,{'open_now': True}
Snail 蝸牛義大利餐廳 民權店,4.8,新店區民權路100號2 樓,{'open_now': False}
Sunny Queen陽光皇后京站小碧潭店,4.5,新店區中央路157號5樓,{'open_now': True}
開飯川食堂 小碧潭店,4.3,新店區中央路157號京站時尚廣場5樓,{'open_now': False}
petit doux 微兜 小碧潭店,4.1,新店區中央路157號5樓,{'open_now': True}
上川館,4.1,新店區二十張路22巷1號,{'open_now': True}
活蝦大王,4.1,新店區建國路200號,{'open_now': True}
心泰plus 京站小碧潭店,4.1,新店區中央路159號5樓,{'open_now': True}
連城食堂 複合式餐飲,4.1,中和區連城路547號,{'open_now': True}
紅餐廳 The RED,4.1,中和區中正路631號2樓,無營業時間資訊
原享 複合式餐飲,4.7,土城區延壽路3號,{'open_now': False}
曼谷泰式料理（中和店）,4.8,中和區建八路120號,{'open_now': True}
有空來品嚐,4.6,中和區員山路124巷40號,{'open_now': True}
朵LA pasta 中和店,4.9,中和區員山路150號-10號,{'open_now': False}
興怡簡餐坊,4.2,中和區建八路20-2號D棟,{'open_now': False}
茶自點中和旗艦店,4.5,中和區建一路253號 1,{'open_now': True}
蓋飯店,4.2,中和區連城路347巷4弄13號,{'open_now': False}
秘境食堂,4.5,中和區連城路347巷1弄4號,{'open_now': True}
古斯塔義大利麵 Gusta Pasta,4.1,中和區連城路381-2號,{'open_now': True}
萃茶風大享食 (中和連城店),4.6,中和區連城路347巷2弄5號,{'open_now': True}
瓦城泰國料理 - 中和建一店,4.1,中和區建一路179號,{'open_now': False}
1010湘 (中和建一店),4.2,中和區建一路162號,{'open_now': False}
一起吃飯吧Let's eat!,4.7,中和區民德路155之2號,{'open_now': True}
韓式蓋飯,4.4,中和區員山路148巷5號,{'open_now': True}
大豚涮涮屋,4.5,中和區連城路343號1樓,{'open_now': False}
時光小館,4.6,中和區中山路二段49號,{'open_now': False}
The 41 Bistro 英式餐館《永和店》餐廳/永和美食/中和美食/聚餐/駐唱/包場,4.6,永和區得和路41號,{'open_now': False}
米米廚房 Secret Kitchen,4.8,永和區大新街28號,{'open_now': False}
Moose a Maze 麋鹿·迷路 義式餐廳,4.4,"新北市永和區中正路151巷1-1號一樓, No. 1-1中正路151巷, 永和區",{'open_now': False}
私藏不藏私咖啡食堂 中和美食/景安美食/永和美食/日式便當/下午茶/咖啡店/咖哩/親子餐廳/鄉村風,4.4,中和區景安路167巷6號,{'open_now': True}
饗泰多 Siam More 泰式風格餐廳 永和比漾店,4.9,永和區中山路一段238號2F,{'open_now': False}
狂魔炒飯x餓鬼糧倉-永和店(寵物友善餐廳）,4.5,永和區保平路141號,{'open_now': True}
海盜船義式料理坊,4.4,永和區永和路一段65巷5之1號,{'open_now': True}
齊家私房小館,4.3,中和區保健路32號,{'open_now': True}
翔點 馬來港式茶餐廳,4.5,永和區國光路81號,{'open_now': False}
太發生猛海鮮（每月最後一個星期一店休）,4.3,中和區中和路59號,{'open_now': True}
淘淘鐵板燒,4.1,中和區中安街32號,{'open_now': False}
BUTTERFOODIE,4.5,永和區雙和街17巷2號,{'open_now': False}
錦小鹿手作幸福料理,4.5,永和區得和路1號No,{'open_now': False}
尖牙義式廚房-新北永和店,4.3,永和區中山路一段238號5樓,{'open_now': True}
泰旺泰式料理,4.2,中和區南華路50號,{'open_now': False}
